"text","label"
"Após disparada de 9,5% com 2 boas notícias, Itaú BBA vê ""exagero"" do mercado com BRF e recomenda cautela",1
"Itaú salta 6% em três dias; ação sobe 4% com recomendação do Itaú BBA e 4 papéis reagem a balanço",1
"Fusão da BM&F Bovespa e Cetip pode gerar a 5ª maior bolsa do mundo",1
"Bolsa tem terceiro dia de queda e volta aos 94 mil pontos",0
"Fiscalização paralisa plataforma a serviço da Petrobras na Bacia de Santos",0
"Mecanismo adotado pela Petrobras deixa preço da gasolina estável por 15 dias",1
"Bovespa sobe em sessão positiva para ações de siderurgia e mineração",1
"Ambev tem vagas para vendedores no Rio Grande do Sul",1
"Maior IPO do ano, ação do Grupo Mateus fecha pregão de estreia na B3 perto da estabilidade",1
"Estatais perdem ainda mais espaço entre as recomendações de julho, enquanto Itaú reina absoluto na liderança",1
"Operação suspende produção de plataforma da Petrobras por inconformidades",0
"Bovespa bate nova marca histórica, ultrapassando os 76 mil pontos nesta segunda",1
"Falha em linha de Belo Monte causa apagão em 13 Estados do Norte e Nordeste",0
"Bovespa fecha em alta puxada por Petrobras",1
"Petrobras vê excedente de gás no futuro e estuda eventual exportação de GNL",1
"Itaú propõe aumentar dividendos mensais em 50% com desdobramento de ações",1
"Itaú Unibanco e Multiplus lançam cartão conjunto de olho em alta renda",1
"BofA Merrill Lynch: Reajuste da Petrobras confirma novo viés “mercado” após ataques na Arábia",1
"Ex-CEO da Vale, Murilo Ferreira ganhou R$ 60 milhões da mineradora em 2017",0
"Grandes acionistas podem vender até R$ 17 bilhões em papéis da Vale - mas não há motivo para pânico",0
"Bovespa fecha em alta mesmo com receios fiscais e exterior desfavorável",1
"Justiça suiça multa a Vale em US$ 233 milhões",0
"Mega venda de até R$ 17 bilhões de ações da Vale não deve acontecer agora, diz BTG",0
"Ibovespa cai 1,5% com falta de investidores estrangeiros e apreensão política; dólar vai a R$ 4,15",0
"Pessimismo de gestores atinge o maior patamar desde a crise mundial de 2008",0
"Ação de gigante de tecnologia ofusca Tesla com alta de 880%",1
"Colorado, da Ambev, lançará uma cerveja por mês com nova linha",1
"Geral recomenda Itaú, Ambev e mais 8 ações; confira",1
"Bovespa opera em baixa de 1,16% nesta segunda-feira, atenta ao cenário político",0
"Ibovespa cai mais de 1% com saída de capital de emergentes em meio a incertezas sobre economia",0
"FUP entra com ação contra venda de refinarias pela Petrobras",0
"Lucro das empresas da Bovespa tem queda de 13,2% no segundo trimestre de 2017",0
"Para Itaú, demanda na China é insustentável e minério de ferro vai cair 32% este ano",0
"Banco do Brasil pagará remuneração de R$ 476,6 milhões aos acionistas",1
"Banco do Brasil é a instituição mais forte do mundo, diz pesquisa",1
"Small cap terá ""block trade"" de 12,5 milhões de ações na Bovespa no dia 11 de novembro",0
"Bolsa cai 1,9% e fecha no menor nível em quase dois meses",0
"Dólar volta a subir e fecha em R$ 4,09 com saída de capital externo",0
"Moro trava investigações para proteger empresas e delatores da Lava Jato",0
"Vale e siderúrgicas caem mais de 1% com minério; Marfrig sobe 2% e Petrobras ameniza com fala de Maia",0
"Petrobras perde força apesar do salta do petróleo e Suzano sobe com nova alta do dólar",0
"Dólar tem manhã de alta e Bolsa cai abaixo dos 104 mil pontos",0
"Itaú Unibanco supera expectativas e tem lucro de R$ 6,2 bilhões no segundo trimestre",1
"Justiça manda Vale pagar R$ 12 milhões a familiares de 3 vítimas de Brumadinho",0
"Com Petrobras e Ambev, exercício de opções movimenta R$ 6,5 bilhões na B3",1
"Ações da Oi saltam 9% e TIM e Vivo têm alta de 6% após oferta conjunta; Ser dispara 15% e Via Varejo sobe 7%",1
"Ação da Via Varejo salta 35%: as maiores altas e as maiores quedas do Ibovespa em maio",1
"Bovespa sobe 1,73% e fecha na máxima desde abril de 2012",1
"Entenda a turbulência na Petrobras e o histórico de crise da empresa",0
"Petrobras divulga início de fase vinculante para venda de 4 campos terrestres na Bahia",1
"Vale sobe 1% e atinge R$ 52; Lojas Americanas dispara, Cyrela cai 2% e mais ações reagem a balanços",1
"Petrobras e bancos saltam, enquanto Suzano cai 4% com Alckmin ganhando força; mudança de CEO ofusca balanço e TIM cai",1
"Por enquanto, dólar não coloca em risco trajetória de inflação, diz Itaú",1
"Itaú registra lucro de R$ 6,42 bilhões no primeiro trimestre e supera as projeções do mercado",1
"Credit Suisse espera que ação se valorize quase 300% em apenas um ano",1
"Vale pode pagar dividendos ""muito maiores"" que o mínimo, diz CEO",1
"Com Petrobras e Braskem, exercício de opções movimenta R$ 3,4 bilhões na B3",1
"Dólar fecha a R$ 3,99, maior valor desde período pré-eleitoral",0
"Itaú Unibanco revisa projeção para IPCA de 3,7% para 3,3% em 2017",0
"Vale repete 2003 e anuncia proventos adicionais aos acionistas",1
"BRF dispara mais 7% com Parente no lugar de Abilio; Petrobras, Vale e siderúrgicas sobem com commodities",1
"Temporada de balanços: semana que vem terá publicação de 12 resultados e Itaú é destaque",1
"Como comprar ações do Banco do Brasil (BBAS3), passo a passo",1
"Petrobras salta 4% e BRF cai 3,5%; Vale tem perda de quase 2% com tensão entre EUA e China",1
"Vale sobe 2% e Ambev salta 5% com resultados positivos; Paranapanema cai até 4% após ser alvo da Zelotes",1
"Com proposta de R$ 16 milhões, subsidiária da Ambev vai patrocinar carnaval de rua de SP",1
"Petrobras e Vale avançam 1%; Hypera e Porto Seguro sobem após balanços e Marfrig salta com venda de ativos próxima",1
"Dólar sobe pelo segundo dia seguido e fecha a R$ 3,77",0
"Com bancos e Petrobras na liderança, exercício de opções movimenta R$ 4 bilhões na B3",1
"Petrobras sobe forte seguindo petróleo; Linx cai 3% após saída de executivo e mais destaques",1
"Itaú: taxa de desemprego cai com aumento de trabalho sem carteira assinada",1
"Dólar volta a subir e fecha a R$ 4,09, em alta de 0,93%",0
"Ibovespa sobe com exterior e arrancada da Petrobras; dólar cai e encerra sequência de altas",1
"Como comprar ações da B3 (B3SA3); veja o passo a passo para investir",1
"Banco do Brasil confirma demanda de R$ 7 bi de pessoa física em follow on",1
"Dólar fecha em alta, cotado a R$ 3,73; Bolsa cai 0,47%",0
"Poderoso investidor do Vale do Silício renuncia acusado de assédio sexual	",0
"Banco do Brasil lucra R$ 3,4 bilhões no 3º trimestre, lucro do Carrefour cai 37%, outros 19 balanços e mais notícias",1
"Petrobras eleva preço da gasolina em 3,5% e do diesel em 4,2%",0
"Itaú terá de pagar R$ 60 mil por obrigar funcionária a cometer atos ilícitos",0
"Petrobras sobe 1,5% com petróleo e possível venda de ativos; holding da Bradespar avança após recomendação",1
"Itáu Unibanco vê provisões relacionadas à Lava Jato em níveis adequados",1
"Enfoque: Petrobras se articula para enfrentar novo inimigo – ladrões de combustível",0
"Maia contém apreensão com atraso na Previdência e freia queda da Bolsa",0
"Guerra travada por EUA e China não é só comercial: ela é tecnológica",0
"Trégua em guerra comercial entre EUA e China deve durar pouco, diz BofA",0
"Itaú Unibanco tem lucro de R$ 6,38 bilhões no 2º trimestre e frustra projeções",1
"Petrobras suspende produção da plataforma P-50 por rompimento de amarra",0
"Após nova decisão, bloqueio de conta da Vale chega a R$ 11 bilhões",0
"Minério de qualidade é nova demanda do mercado e preferência ""veio para ficar"", diz Vale",1
"Ações da Petrobras disparam em dois dias e opções de compra sobem até 180%",1
"Buy list do Itaú BBA e outras 4 recomendações; oferta de ações de R$ 2 bi e mais 11 empresas no radar",1
"Bovespa oscila nesta segunda; Vale e Petrobras estão entre as baixas do dia",0
"Plataformas da Petrobrás começam a se tornar sucata",0
"Carteira recomendada: Itaú BBA elege nova preferência em portfólio Top 5",1
"Brasil está sem solução para crise e sua imagem se deteriora rapidamente, diz fundação alemã",0
"Siderúrgicas e Vale caem até 5% com minério; Petrobras recua 3% e Suzano dispara mais 7%",0
"Ambev é trocada por Vale em lista do Itaú BBA; mais 5 recomendações, Marfrig faz compra, data-limite na Eletrobras e outros destaques",1
"Bolsonaro se envolve em nova polêmica ao usar declaração distorcida para atacar jornalista",0
"Ação do Itaú Unibanco movimenta R$ 344,5 milhões em ""block trade"" na bolsa",1
"Petrobras e Vale já romperam suas máximas do ano: o que falta para o Ibovespa andar?",1
"Itaú BBA espera que a Vale tenha resultado ""impressionante""; alerta para elétricas e mais 7 notícias",1
"Petrobras esclarece decisão do TCU, Itaú BBA eleva Embraer, boa notícia para Vale e mais 13 empresas no radar",1
"O reajuste da gasolina ",0
"Petrobrás cria grupo interno para enfrentar ladrões de combustível",0
"Vale tem ADR elevado para compra pelo Bradesco BBI; Lojas Americanas de olho na Netshoes e mais notícias",1
"MMX sinaliza alta de 17% na abertura, Embraer salta 2% com Itaú BBA e Petrobras avança",1
"JPMorgan projeta alta de 13% para ações na América Latina",1
"Ibovespa cai abaixo dos 100 mil pontos com espera pela Previdência",0
"Itaú Unibanco eleva lucro no 4º tri, prevê queda das provisões em 2017",1
"Resultado da AmBev surpreende, com foco em nova política de preços",1
"Bradesco cai 3,5%, Vale sobe 2% e Ambev dispara 5% após resultados; small cap desaba 7% com Zelotes",1
"Estreia de ação na Bovespa, Previ contra a Petrobras, TIM elevada e mais 5 notícias no radar",1
"Quer investir na Bovespa? saiba como iniciar os negócios em tempos de crise",1
"Magazine Luiza dispara 14%: ainda vale a pena comprar?",1
"Ibovespa cai depois de adiamento de votação da Previdência na CCJ do Senado",0
"Com alta de mais de 200% em 2019, as ações da Sinqia estão caras?",1
"Itaú BBA eleva preço justo de ações de dois bancos",1
"Itaú deve indenizar família de bancário usado como ""escudo humano"" em assaltos",0
"Moro condena ex-gerente da Transpetro a 12 anos e seis meses de prisão",0
"Mineradora é criticada por atuação em fertilizantes",0
"Equipe econômica prevê nova crise em 2020, caso reforma não passe",0
"Ibovespa tem terceira alta seguida puxado por Petrobras e Vale; dólar avança e encosta em R$ 3,80",1
"Santander recomenda compra para ação e espera alta de 83%; veja qual",1
"Petrobras cai 1% e Usiminas avança 4% com possível reajuste; Gradiente salta mais de 500% em apenas três pregões",0
"Banco do Brasil fará concurso para atrair talentos em TI",1
"Presidente do Banco do Brasil pede restabelecimento da confiança nas instituições",1
"PF deflagra 52ª fase da Lava Jato, sobre crimes em subsidiárias da Petrobras",0
"Mesmo após ?virada histórica?, Petrobras pode subir ainda mais, afirma analista",1
"Com tensão eleitoral e cenário externo, mercados não escapam. Instabilidade vai longe",0
"Quer trabalhar na bolsa? Bovespa oferece mais de 20 vagas",1
"Importadoras de diesel ameaçam abandonar mercado",0
"Bovespa fecha em forte queda após Trump dizer que vai responder a novas tarifas da China",0
"Petrobras sobe, mas ameniza com fala de Trump; dona da Gradiente salta mais de 600% em 4 pregões",1
"Vale cai com minério e com má notícia sobre embarques; ""novata na bolsa"" tem baixa de 3% com recomendação",0
"Petrobras sobe mais de 3% e bancos têm novo dia de fortes ganhos; Renner dispara após recomendação",1
"Vale lamenta morte de Eliezer Batista, que foi duas vezes presidente da empresa",0
"Eletrobras afunda 4% e varejista sobe quase 20% em 6 pregões; Vale e Petrobras fecham no zero",0
"Vale fecha parceria com a Dubal em projeto de sua subsidiária no Pará",1
"Vale é elevada para grau de investimento e STF mantém leilão na Eletrobras; Petrobras e mais destaques",1
"Bovespa fecha com alta discreta e sustenta os 100 mil pontos",1
"Dólar cai de olho no Congresso e Bolsa perde fôlego",0
"Como a Ambev chegou ao topo do capitalismo?",1
"Bovespa sobe 0,5% impulsionada por ganhos da Vale",1
"Os protestos contra a CPMF ao longo da história",0
"Maioria dos empresários quer diversificar atuação de companhia, diz pesquisa",1
"Suspensão de ações do MPF contra a Samarco vai até 30 de outubro, diz Vale",0
"Itaú Unibanco adquire participação de 49,9% na XP Investimentos por R$ 6,3 bi",1
"Bovespa fecha em queda, diante de cenário exterior agitado",0
"Call do Itaú BBA reforçado para Fibria e Suzano e mais recomendações, 3 notícias de Petrobras e outros destaques",1
"Após recorde, Petrobrás reduz preço da gasolina nas refinarias em 0,59%",1
"Preço do petróleo """"no ponto"""" serve de alívio para Petrobras",1
"Dólar supera os R$ 4,10 e Bolsa perde os 90 mil pontos",0
"Small cap salta 7% após balanço e incorporadora cai 2%; Petrobras e Vale oscilam entre leves perdas e ganhos",0
"Perspectiva de nova queda dos juros pode favorecer a bolsa",1
"Ação da Vale dispara 7% com minério e dados da China, enquanto Petrobras sobe 3%; Ambipar salta 27% em dois pregões",1
"Petrobras sobe quase 2% com petróleo e resiste a noticiário negativo; Duratex salta 10% após acordo com Suzano",1
"Petrobras e EIG podem realizar sonho portuário de Eike Batista",1
"Itaú e RD caem até 3%; Cielo chega a despencar 8% após balanço decepcionante e Embraer vira para alta",0
"Termina amanhã prazo para reservar debêntures isentas da Petrobras e CRA da JBS",1
"Crise na Venezuela, OCDE e Otan: os destaques do encontro entre Bolsonaro e Trump nos EUA",0
"Ibovespa ganha força e sobe 1% com arrancada da Petrobras; dólar supera R$ 3,91",1
"Ibovespa sobe mais de 1% com Petrobras e bancos; dólar recua e volta para R$ 4,11",1
"Petrobras não alterou e nem vai alterar política de preços, diz Monteiro",1
"Vale dispara 4%, Cemig salta 5% com possível IPO e nova ""lista de compras"" do Itaú puxa duas ações",1
"Via Varejo salta 8% com ""transformação digital""; Petrobras e Eletrobras caem mais de 1% de olho nas eleições",0
"Braskem cai após disparada de 21% na sexta; Petrobras e Vale têm baixa de 2% e Embraer sobe mais de 1% com ""acordo próximo""",0
"Bolsa fecha em queda com exterior negativo",0
"Petrobras tem forte queda na Bolsa após recuo em reajuste do diesel",0
"Ação da Vale cai mais de 3% com paralisação de sua maior mina em MG; Gol dispara 8% com sinalização do governo Doria",0
"Bovespa opera sem viés definido com receios sobre Trump ainda no radar",0
"Weg mostra por que ação é a maior alta do Ibovespa em 2020 – mas analistas veem desafios para papel subir mais",1
"Vale espera que níquel se torne lucrativo com boom das baterias",1
"Vale produz 82 milhões de toneladas de minério no 1º tri; novos nomes para BRF, Embraer e mais destaques",1
"Bovespa opera oscilante nesta sexta, impactada pelo cenário político nacional",0
"Bovespa sobe 1,8% impulsionada por avanço das ações de siderúrgicas e mineradores",1
"Holding da Vale salta mais de 4% e Eletrobras cai 3%; veja mais destaques da bolsa",1
"Ambev tem lucro de R$ 2,75 bilhões no primeiro trimestre",1
"Petrobras adianta pagamento de dívida com o Citibank no valor de US$ 500 milhões",0
"Secretaria de MG cancela autorização da Vale para operar barragem de Laranjeiras",0
"Indenização paga pelo Itaú é reduzida de R$ 160 milhões para R$ 160 mil pelo STJ",0
"Braskem dispara mais de 7% com notícia sobre venda; Petrobras, Vale e bancos sobem com ajuste de ADRs",1
"Vale celebra contrato de compra e venda de ações com siderúrgica de Dubai",1
"Mercados despencam com novo capítulo de guerra comercial",0
"Brasil vira o maior mercado da marca Heineken – e aumenta a dor de cabeça dos acionistas da Ambev",1
"Ações da Petrobrás começam o dia em alta, mas Bolsa perde força com cenário externo",0
"Bovespa tem leve alta em sessão com intenso noticiário corporativo",1
"Ação com alta de 7,5% nesta semana deve valorizar mais 55%, diz Bradesco",1
"Paciência: o estrangeiro logo chegará na Bovespa, diz gestor que ""ganhou"" 3.100% em 17 anos",1
"Holding do Itaú fará baixa contábil de R$ 260 milhões no resultado de 2016",0
"Queda nas ações da Petrobrás é desafio para estratégia de venda de ativos do BNDES",0
"Ações da Braskem despencam após desistência da LyondellBasell",0
"“CPI da Lava Toga” alimenta debate sobre ativismo judicial e crise institucional",0
"Bovespa ensaia melhora com Wall Street; BB Seguridade pesa",1
"Kit privatização leva bolsa aos 101 mil pontos",1
"Empregado da Vale que teve braço e mão esmagados ganha indenização de R$ 60 mil",0
"Itaú lucra R$ 6,4 bi no 1º trimestre, Eletrobras faz acordo nos EUA, 3 recomendações e mais destaques",1
